tweet_id,text,rating_numerator,rating_denominator,name,dogs_stage,year,month,day,rating,jpg_url,dog_type,confidence_list,favorite_count,retweet_count,followers_count,friends_count,source,retweeted_status,url
667443425659232256,Exotic dog here. Long neck. Weird paws. Obsessed with bread. Waddles. Flies sometimes (wow!). Very happy dog. 6/10 https://t.co/rqO4I3nf2N,6,10,None,None,2015,11,19,6.0,https://pbs.twimg.com/media/CUM8QZwW4AAVsBl.jpg,Error,Error,716.0,529.0,8959867.0,17.0,Twitter for iPhone,Original tweet,https://t.co/rqO4I3nf2N
667453023279554560,Meet Cupcake. I would do unspeakable things for Cupcake. 11/10 https://t.co/6uLCWR9Efa,11,10,Cupcake,None,2015,11,19,11.0,https://pbs.twimg.com/media/CUNE_OSUwAAdHhX.jpg,Labrador_retriever,0.8256700000000001,291.0,80.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/6uLCWR9Efa
667455448082227200,This is Reese and Twips. Reese protects Twips. Both think they're too good for seat belts. Simply reckless. 7/10s https://t.co/uLzRi1drVK,7,10,Reese,None,2015,11,19,7.0,https://pbs.twimg.com/media/CUNHMXTU8AAS3HH.jpg,Tibetan_terrier,0.676376,178.0,56.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/uLzRi1drVK
667470559035432960,This is a northern Wahoo named Kohl. He runs this town. Chases tumbleweeds. Draws gun wicked fast. 11/10 legendary https://t.co/J4vn2rOYFk,11,10,a,None,2015,11,19,11.0,https://pbs.twimg.com/media/CUNU78YWEAECmpB.jpg,toy_poodle,0.304175,234.0,88.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/J4vn2rOYFk
667491009379606528,Two dogs in this one. Both are rare Jujitsu Pythagoreans. One slightly whiter than other. Long legs. 7/10 and 8/10 https://t.co/ITxxcc4v9y,7,10,None,None,2015,11,19,7.0,https://pbs.twimg.com/media/CUNniSlUYAEj1Jl.jpg,borzoi,0.852088,482.0,206.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/ITxxcc4v9y
667495797102141441,This is Philippe from Soviet Russia. Commanding leader. Misplaced other boot. Hung flag himself. 9/10 charismatic af https://t.co/5NhPV8E45i,9,10,Philippe,None,2015,11,20,9.0,https://pbs.twimg.com/media/CUNr4-7UwAAg2lq.jpg,Chihuahua,0.143957,485.0,244.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/5NhPV8E45i
667502640335572993,Say hello to Hall and Oates. Oates is winking and Hall is contemplating the artistic entropy of the universe. 11/10s https://t.co/n5Wtb5Hvsl,11,10,Hall,None,2015,11,20,11.0,https://pbs.twimg.com/media/CUNyHTMUYAAQVch.jpg,Labrador_retriever,0.996709,504.0,201.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/n5Wtb5Hvsl
667517642048163840,This is Dook &amp; Milo. Dook is struggling to find who he really is and Milo is terrified of what that might be. 8/10s https://t.co/fh5KflzBR0,8,10,Dook,None,2015,11,20,8.0,https://pbs.twimg.com/media/CUN_wiBUkAAakT0.jpg,Italian_greyhound,0.125176,344.0,176.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/fh5KflzBR0
667524857454854144,Another topnotch dog. His name is Big Jumpy Rat. Massive ass feet. Superior tail. Jumps high af. 12/10 great pup https://t.co/seESNzgsdm,12,10,None,None,2015,11,20,12.0,https://pbs.twimg.com/media/CUOGUfJW4AA_eni.jpg,Chesapeake_Bay_retriever,0.08812239999999999,1573.0,1028.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/seESNzgsdm
667530908589760512,"Meet Naphaniel. He doesn't necessarily enjoy his day job, but he's damn good at it. 10/10 https://t.co/xoRWyQTcmy",10,10,Naphaniel,None,2015,11,20,10.0,https://pbs.twimg.com/media/CUOL0uGUkAAx7yh.jpg,golden_retriever,0.633037,433.0,219.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/xoRWyQTcmy
667534815156183040,"This is Frank (pronounced ""Fronq""). Too many boxing gloves, not enough passion. Frank is a lover not a fighter. 8/10 https://t.co/CpPxD28IpV",8,10,Frank,None,2015,11,20,8.0,https://pbs.twimg.com/media/CUOPYI5UcAAj_nO.jpg,Pembroke,0.435254,758.0,481.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/CpPxD28IpV
667538891197542400,"This is a southwest Coriander named Klint. Hat looks expensive. Still on house arrest :(
9/10 https://t.co/IQTOMqDUIe",9,10,a,None,2015,11,20,9.0,https://pbs.twimg.com/media/CUOTFZOW4AABsfW.jpg,Yorkshire_terrier,0.618957,190.0,60.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/IQTOMqDUIe
667544320556335104,"This is Kial. Kial is either wearing a cape, which would be rad, or flashing us, which would be rude. 10/10 or 4/10 https://t.co/8zcwIoiuqR",10,10,Kial,None,2015,11,20,10.0,https://pbs.twimg.com/media/CUOYBbbWIAAXQGU.jpg,Pomeranian,0.412893,795.0,486.0,8959867.0,17.0,Twitter Web Client,Original tweet,https://t.co/8zcwIoiuqR
